       1       1       0      36
       1       7       0      25
       1       9       0      24
       1      15       0      31
       1      23       0      38
       1      27       0      35
       1      35       0      36
       1      36       0      28
       1      37       0      31
       1       4       0      32
       1      21       0      38
       1      33       0      28
       1       2       0      16
       1       3       0      35
       1      24       0      23
       1      30       0      29
       1      32       0      25
       1      34       0      26
       1       5       0      41
       1       6       0      44
       1      10       0      21
       1      14       0      45
       1      19       0      26
       1      28       0      39
       2       1       1      19
       2       7       1      29
       2       9       1      29
       2      15       1      21
       2      23       1      26
       2      27       1      31
       2      35       1      36
       2      36       1      17
       2      37       1      18
       2       4       1      25
       2      21       1      31
       2      33       1      19
       2       2       2       7
       2       3       2      20
       2      24       2      24
       2      30       2      14
       2      32       2      16
       2      34       2      22
       2       5       2      37
       2       6       2      33
       2      10       2      12
       2      14       2      26
       2      19       2      10
       2      28       2      30
       3       1       2       3
       3       7       2      17
       3       9       2       1
       3      15       2      11
       3      23       2      20
       3      27       2      34
       3      35       2      26
       3      36       2       9
       3      37       2      17
       3       4       1      22
       3      21       1      16
       3      33       1      12
       3       2       1      13
       3       3       1      12
       3      24       1      29
       3      30       1      14
       3      32       1       9
       3      34       1      22
       3       5       1      30
       3       6       1      31
       3      10       1      13
       3      14       1      26
       3      19       1       5
       3      28       1      20
